pagamento_id,cliente_id,valor,data_pagamento
1,3,870.34,2025-02-20
2,4,742.02,2025-01-26
3,5,849.66,2025-02-16
4,6,534.24,2025-03-09
5,7,438.77,2025-04-22
6,8,790.02,2025-05-07
7,9,536.56,2025-03-05
8,10,720.99,2025-01-22
9,11,151.92,2025-05-08
10,12,766.56,2025-02-28
11,13,493.82,2025-04-25
12,14,700.57,2025-04-14
13,15,686.01,2025-01-15
14,16,516.21,2025-01-14
15,17,388.36,2025-02-17
16,18,727.54,2025-03-04
17,19,965.20,2025-03-26
18,20,869.46,2025-01-24
19,21,396.13,2025-04-07
20,22,864.19,2025-01-05
21,23,89.17,2025-02-13
22,24,37.12,2025-01-03
23,25,352.42,2025-02-16
24,26,194.27,2025-04-09
25,27,409.94,2025-02-25
26,28,290.48,2025-03-03
27,29,469.58,2025-02-09
28,30,464.38,2025-04-27
29,31,695.52,2025-03-14
30,32,914.03,2025-03-12
31,33,59.00,2025-02-09
32,34,100.25,2025-02-13
33,35,722.60,2025-01-20
34,36,708.13,2025-01-04
35,37,163.39,2025-01-26
36,38,718.95,2025-02-07
37,39,56.02,2025-04-06
38,40,21.26,2025-01-30
39,41,951.92,2025-01-26
40,42,661.13,2025-04-02
41,43,675.01,2025-03-16
42,44,207.83,2025-01-08
43,45,577.69,2025-02-26
44,46,717.78,2025-02-01
45,47,154.79,2025-03-08
46,48,157.71,2025-02-15
47,49,784.05,2025-04-16
48,50,287.15,2025-01-27
49,51,663.18,2025-04-08
50,52,669.19,2025-02-06
51,53,961.55,2025-03-26
52,54,275.42,2025-01-26
53,55,213.31,2025-01-11
54,56,727.73,2025-03-06
55,57,670.84,2025-04-23
56,58,958.22,2025-03-18
57,59,28.01,2025-01-12
58,60,444.43,2025-03-30
59,61,895.08,2025-03-12
60,62,210.60,2025-04-11
61,63,449.75,2025-03-21
62,64,130.93,2025-02-05
63,65,359.55,2025-03-16
64,66,303.85,2025-01-25
65,67,853.86,2025-03-16
66,68,86.87,2025-02-23
67,69,347.26,2025-01-03
68,70,164.68,2025-04-13
69,71,40.89,2025-02-22
70,72,361.57,2025-03-30
71,73,809.84,2025-03-12
72,74,301.82,2025-01-12
73,75,344.95,2025-03-10
74,76,49.87,2025-02-05
75,77,683.44,2025-02-15
76,78,375.27,2025-01-02
77,79,738.50,2025-02-20
78,80,340.81,2025-01-02
79,81,224.27,2025-03-03
80,82,204.45,2025-03-15
81,83,883.19,2025-03-20
82,84,218.75,2025-02-07
83,85,523.90,2025-02-02
84,86,977.08,2025-03-17
85,87,547.25,2025-05-08
86,88,866.53,2025-03-23
87,89,266.51,2025-05-03
88,90,500.90,2025-01-11
89,91,327.38,2025-03-26
90,92,209.62,2025-04-02
91,93,426.25,2025-01-23
92,94,553.89,2025-04-10
93,95,574.84,2025-03-04
94,96,974.77,2025-04-06
95,97,851.08,2025-01-28
96,98,951.34,2025-04-05
97,99,531.87,2025-01-11
98,100,567.72,2025-03-22
99,101,92.04,2025-01-03
100,102,93.35,2025-01-04
